"Year","Mean.Methane","Sum.Methane"
1980,110.170184615385,1432.2124
1981,108.457146153846,1409.9429
1982,104.061761538462,1352.8029
1983,100.635692307692,1308.264
1984,101.411369230769,1318.3478
1985,99.7321692307692,1296.5182
1986,97.3862461538462,1266.0212
1987,94.7245076923077,1231.4186
1988,97.0712230769231,1261.9259
1989,97.2418384615385,1264.1439
1990,95.8135769230769,1245.5765
1991,98.6360230769231,1282.2683
1992,98.8310538461538,1284.8037
1993,98.4681230769231,1280.0856
1994,99.9321692307692,1299.1182
1995,98.8208692307692,1284.6713
1996,96.9781846153846,1260.7164
1997,100.720446153846,1309.3658
1998,101.086515384615,1314.1247
1999,98.7131,1283.2703
2000,98.7953846153846,1284.34
2001,99.0658692307692,1287.8563
2002,99.1731769230769,1289.2513
2003,99.7069,1296.1897
2004,99.4752538461538,1293.1783
2005,100.239738461538,1303.1166
2006,101.213384615385,1315.774
2007,102.346184615385,1330.5004
2008,107.501923076923,1397.525
2009,103.945476923077,1351.2912
2010,103.7121,1348.2573
2011,105.099476923077,1366.2932
2012,105.065723076923,1365.8544
2013,103.741069230769,1348.6339
2014,106.383661538462,1382.9876
2015,107.467392307692,1397.0761
2016,109.900630769231,1428.7082
2017,111.864346153846,1454.2365
2018,113.438107692308,1474.6954
