"Item Code","Item","Description","HS Code","HS07 Code","HS12 Code","CPC Code"
"1755","All Animals","","","","",""
"1107","Asses","Equus asinus. See 866.","","010110, 010190","010130","02132"
"946","Buffaloes","Indian, Asiatic, pigmy, water buffalo (Bubalus bubalus; B. arnee; B. depressicornis); African buffalo (genus Syncerus); American bison (Bison bison); European bison (Bison bonasus); beeffalo (cross between a bison and a domesticated beef animal). See 866. Excludes wild bisons and buffaloes.","","010210, 010290","010231, 010239","02112"
"1126","Camels","Bactrian camel (Camelus bactrianus); Arabian camel (C. dromedarius). See 866.","","010619","010613","02121.01"
"1760","Camels and Llamas","","","","",""
"1757","Cattle","","","","",""
"960","Cattle, dairy","Common ox (Bos taurus); zebu, humped ox (Bos indicus); Asiatic ox (subgenus Bibos); Tibetan yak (Poephagus grunniens). Animals of the genus listed, that are producing milk in commercial quantities for human consumption.","","","",""
"961","Cattle, non-dairy","Common ox (Bos taurus); zebu, humped ox (Bos indicus); Asiatic ox (subgenus Bibos); Tibetan yak (Poephagus grunniens). Animals of the genus listed, that are produce calves for meat or to provide draft power.","","","",""
"1054","Chickens","","","","",""
"1053","Chickens, broilers","","","","",""
"1052","Chickens, layers","","","","",""
"1068","Ducks","Anas spp.. See 1057.","","010519, 010599","010513, 010599","02154"
"1016","Goats","Capra spp.. See 866. Includes Hircus, Ibex, Nubiana, Pyrenaica, Tibetana, Kashmir and Angora.","","010420","010420","02123"
"1096","Horses","Equus caballus. See 866.","","010110, 010190","010121, 010129","02131"
"1177","Llamas","See Other camelids.","","","",""
"1110","Mules","Includes hinnies. Mules are offspring of a male ass and a female horse (mare); a hinny is the offspring of a female ass and a male horse (stallion). Both are sterile. See 866.","","010190","010190","02133"
"1759","Mules and Asses","","","","",""
"2029","Poultry Birds","","","","",""
"976","Sheep","Ovis spp.. See 866. Includes Uriel, Argali, Bighorn, Karakul and Astrakhan.","","010410","010410","02122"
"1749","Sheep and Goats","","","","",""
"1048","Swine","","","","",""
"1051","Swine, breeding","","","","",""
"1049","Swine, market","","","","",""
"1079","Turkeys","Meleagris gallopavo. See 1057.","","010512, 010599","010512, 010599","02152"
