Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1980","1980","Head","21000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1981","1981","Head","23000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1982","1982","Head","23000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1983","1983","Head","23000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1984","1984","Head","24000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1985","1985","Head","24000","","Official data"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1986","1986","Head","24000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1987","1987","Head","24000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1988","1988","Head","26000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1989","1989","Head","55000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1990","1990","Head","53000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1991","1991","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1992","1992","Head","51000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1993","1993","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1994","1994","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1995","1995","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1996","1996","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1997","1997","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1998","1998","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","1999","1999","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2000","2000","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2001","2001","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2002","2002","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2003","2003","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2004","2004","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2005","2005","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2006","2006","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2007","2007","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2008","2008","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2009","2009","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2010","2010","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2011","2011","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2012","2012","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2013","2013","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2014","2014","Head","52000","F","FAO estimate"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2015","2015","Head","51988","Im","FAO data based on imputation methodology"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2016","2016","Head","51977","Im","FAO data based on imputation methodology"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2017","2017","Head","51975","Im","FAO data based on imputation methodology"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2018","2018","Head","51973","Im","FAO data based on imputation methodology"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2030","2030","Head","52000","Fc","Calculated data"
"GM","Manure Management","231","United States of America","5111","Stocks","1107","Asses","2050","2050","Head","52000","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1980","1980","kg","23914.8","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1981","1981","kg","26192.4","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1982","1982","kg","26192.4","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1983","1983","kg","26192.4","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1984","1984","kg","27331.2","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1985","1985","kg","27331.2","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1986","1986","kg","27331.2","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1987","1987","kg","27331.2","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1988","1988","kg","29608.8","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1989","1989","kg","62634","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1990","1990","kg","60356.4","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1991","1991","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1992","1992","kg","58078.8","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1993","1993","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1994","1994","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1995","1995","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1996","1996","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1997","1997","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1998","1998","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","1999","1999","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","2000","2000","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","2001","2001","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","2002","2002","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","2003","2003","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","2004","2004","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","2005","2005","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","2006","2006","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","2007","2007","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","2008","2008","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","2009","2009","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","2010","2010","kg","59217.6","Fc","Calculated data"
"GM","Manure Management","231","United States of America","72386","Manure treated (N content)","1107","Asses","2011","2011","kg","59217.6","Fc","Calculated data"
