Subsection Code,Section,Subsection,Metadata
1.1,Contacts,Contact organisation,Food and Agriculture Organization of the United Nations (FAO)
1.2,Contacts,Contact organisation unit,"Statistics Division (ESS), Environmental Statistics Team"
1.3,Contacts,Contact name,Francesco Nicola Tubiello
1.4,Contacts,Contact person function,Team Leader/Senior Statistician
1.5,Contacts,Contact mail address,"Viale delle Terme di Caracalla, 00153 Rome, Italy"
1.6,Contacts,Contact email address,faostat@fao.org
1.7,Contacts,Contact phone number,+39 06 5705 2169
1.8,Contacts,Contact fax number,
2.1,Action Date,Metadata last certified,6/16/2020
2.2,Action Date,Metadata last posted,6/16/2020
2.3,Action Date,Metadata last update,6/16/2020
3.1,Main Characteristics data,Data description,"Greenhouse gas (GHG) emissions from manure management consist of methane and nitrous oxide gases from aerobic and anaerobic manure decomposition processes.  The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories vol. 4, ch. 10 and 11 (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html). GHG emissions are provided by country, with global coverage, relative to the period 1961-present (with annual updates) and with projections for 2030 and 2050, expressed both as Gg CH4, Gg N2O and Gg CO2eq, by livestock species (asses, buffaloes, camels, cattle (dairy and non-dairy), chickens (broilers and layers), ducks, goats, horses, llamas, mules, sheep, swine (breeding, market), turkeys) and by species aggregates (all animals, camels and llamas, cattle, chickens, mules and asses, poultry birds, sheep and goats, swine). Implied emission factors, direct and indirect emissions (for both N2O and CO2eq) as well as N content in manure available for treatment are also provided."
3.2,Main Characteristics data,Classification system,For emission estimates classification follows the IPCC 2006 Guidelines (http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf). For source data classification follows the FAOSTAT Commodity List System (http://www.fao.org/economic/ess/ess-standards/commodity/en/).
3.2.1,Main Characteristics data,Primary classification,
3.2.2,Main Characteristics data,Secondary classification,
3.2.3,Main Characteristics data,Secondary classification,
3.3,Main Characteristics data,Sector coverage,Agriculture; Environment; Greenhouse Gas Emissions
3.4,Main Characteristics data,Statistical concepts and definitions,GHG emissions from manure management consist of methane and nitrous oxide gases from the aerobic and anaerobic decomposition processes of manure treated in management systems (MMS).
3.5,Main Characteristics data,Statistical unit,"Agricultural holding producing one or more of: asses, buffaloes, camels, cattle (dairy and non-dairy), goats, horses, llamas, mules, sheep, swine (breeding and market)."
3.6,Main Characteristics data,Statistical population,"All agricultural holdings in a country producing one or more of: asses, buffaloes, camels, cattle (dairy and non-dairy), goats, horses, llamas, mules, sheep, swine (breeding and market)."
3.7,Main Characteristics data,Reference area,"In 2018, 191 countries and 25 other territorial entities"
3.7.1,Main Characteristics data,Code - reference area,"FAOSTAT, M49, ISO2 and ISO3 (http://www.fao.org/faostat/en/#definitions)."
3.7.2,Main Characteristics data,Code - Number of countries/areas covered,
3.8,Main Characteristics data,Time coverage,"1961-2018, with projections for 2030 and 2050"
3.8.1,Main Characteristics data,Periodicity,Yearly
3.8.2,Main Characteristics data,Start period,
3.8.3,Main Characteristics data,End period,
3.9,Main Characteristics data,Base period,Base period not applicable for emission estimates for historical years. Base period is the average of emissions from 2005 through 2007 for the projection years.
3.9.1,Main Characteristics data,Base period code,
4,Units,Unit of Measure,Manure (N content) [t] Implied emission factor for CH4 [Kg CH4/head] Implied emission factor for N2O [Kg N2O/Kg Nitrogen applied] Emissions (CH4) [Gg] Emissions (CO2eq) [Gg] Emissions (CO2eq) from CH4 [Gg] Direct emissions (N2O) [Gg] Indirect emissions (N2O) [Gg] Emissions (N2O) [Gg] Direct emissions (CO2eq) [Gg] Indirect emissions (CO2eq) [Gg] Emissions (CO2eq) from N2O [Gg] Emissions (CO2eq) [Gg] Indirect emissions (CO2eq) [Gg] Stocks [1000 heads] Stocks [heads]
4.1,Units,Unit of measure codes,
5,Reference period,Reference period,FAOSTAT emission estimates on any year refer to the same year. FAOSTAT livestock (activity) data on any year refer to data collected from October 1st to December 31st of the preceding year plus data from January 1st to September 30th of the same year.
6,Formal Set of Instructions,Institutional mandate,"Article I of FAO constitution states ""The Organization shall collect, analyse, interpret and disseminate information relating to nutrition, food and agriculture (the term “agriculture” and its derivatives includes forestry, fisheries and aquaculture). The first session of the FAO Conference in 1945 provided the rationale: “If FAO is to carry out its work successfully it will need to know where and why hunger and malnutrition exist, what forms they take, and how widespread they are. Such data will serve as a basis for making plans, determining the efficacy of measures used, and measuring progress from time to time.”"
6.1,Formal Set of Instructions,Legal acts and other agreements,
6.2,Formal Set of Instructions,Data sharing,"A core function of FAO is to ""Assemble, analyze, monitor and improve access to data and information, in areas related to FAO’s mandate"", FAO Reviewed Strategic Framework 2010-2019."
6.2.1,Formal Set of Instructions,Code - IOs from which FAO imports all or some data,
7,Formal Provision,Confidentiality,
